FechaHora;RadSolar
3/03/2012 1:00;0
3/03/2012 2:00;0
3/03/2012 3:00;0
3/03/2012 4:00;0
3/03/2012 5:00;0
3/03/2012 6:00;0
3/03/2012 8:00;42.2
3/03/2012 9:00;56.6
3/03/2012 10:00;77.2
3/03/2012 11:00;89.5
3/03/2012 12:00;64.8
3/03/2012 13:00;229.4
3/03/2012 14:00;236.6
3/03/2012 15:00;305.5
3/03/2012 16:00;233.5
3/03/2012 17:00;117.3
3/03/2012 18:00;44.2
3/03/2012 19:00;1
3/03/2012 20:00;0
3/03/2012 21:00;0
3/03/2012 22:00;0
3/03/2012 23:00;0
4/03/2012 0:00;0
4/03/2012 1:00;0
4/03/2012 2:00;0
4/03/2012 3:00;0
4/03/2012 4:00;0
4/03/2012 5:00;0
4/03/2012 6:00;0
4/03/2012 7:00;13.4
4/03/2012 8:00;76.1
4/03/2012 9:00;84.4
4/03/2012 10:00;216
4/03/2012 11:00;887.8
4/03/2012 12:00;819.9
4/03/2012 13:00;388.8
4/03/2012 14:00;264.4
4/03/2012 15:00;384.7
4/03/2012 16:00;265.4
4/03/2012 17:00;97.7
4/03/2012 18:00;48.3
4/03/2012 19:00;3.1
4/03/2012 20:00;0
4/03/2012 21:00;0
4/03/2012 22:00;0
4/03/2012 23:00;0
5/03/2012 0:00;0
5/03/2012 1:00;0
5/03/2012 2:00;0
5/03/2012 3:00;0
5/03/2012 4:00;0
5/03/2012 5:00;0
5/03/2012 6:00;0
5/03/2012 7:00;12.3
5/03/2012 8:00;65.8
5/03/2012 9:00;145
5/03/2012 10:00;348.7
5/03/2012 11:00;507.1
5/03/2012 12:00;581.2
5/03/2012 13:00;626.5
5/03/2012 14:00;170.8
5/03/2012 15:00;168.7
5/03/2012 16:00;290.1
5/03/2012 17:00;393
5/03/2012 18:00;154.3
5/03/2012 19:00;4.1
5/03/2012 20:00;0
5/03/2012 21:00;0
5/03/2012 22:00;0
5/03/2012 23:00;0
6/03/2012 0:00;0
6/03/2012 1:00;0
6/03/2012 2:00;0
6/03/2012 3:00;0
6/03/2012 4:00;0
6/03/2012 5:00;0
6/03/2012 6:00;0
6/03/2012 7:00;24.7
6/03/2012 8:00;114.2
6/03/2012 9:00;279.8
6/03/2012 10:00;601.8
6/03/2012 11:00;778.7
6/03/2012 12:00;728.3
6/03/2012 14:00;843.5
6/03/2012 15:00;266.4
