YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,12,31,19,0.0
2010,12,31,20,0.0
2010,12,31,21,0.0
2010,12,31,22,0.0
2010,12,31,23,0.0
2011,1,1,0,0.0
2011,1,1,1,0.0
2011,1,1,2,0.0
2011,1,1,3,0.0
2011,1,1,4,0.0
2011,1,1,5,0.0
2011,1,1,6,41.76
2011,1,1,7,241.24
2011,1,1,8,489.51
2011,1,1,9,705.79
2011,1,1,10,866.03
2011,1,1,11,938.59
2011,1,1,12,946.38
2011,1,1,13,882.82
2011,1,1,14,727.38
2011,1,1,15,534.03
2011,1,1,16,320.27
2011,1,1,17,91.38
2011,1,1,18,0.0
2011,1,1,19,0.0
2011,1,1,20,0.0
2011,1,1,21,0.0
2011,1,1,22,0.0
2011,1,1,23,0.0
2011,1,2,0,0.0
2011,1,2,1,0.0
2011,1,2,2,0.0
2011,1,2,3,0.0
2011,1,2,4,0.0
2011,1,2,5,0.0
2011,1,2,6,44.52
2011,1,2,7,259.84
2011,1,2,8,504.67
2011,1,2,9,705.44
2011,1,2,10,813.77
2011,1,2,11,916.91
2011,1,2,12,867.98
2011,1,2,13,787.05
2011,1,2,14,654.92
2011,1,2,15,470.09
2011,1,2,16,266.09
2011,1,2,17,77.3
2011,1,2,18,0.0
2011,1,2,19,0.0
2011,1,2,20,0.0
2011,1,2,21,0.0
2011,1,2,22,0.0
2011,1,2,23,0.0
2011,1,3,0,0.0
2011,1,3,1,0.0
2011,1,3,2,0.0
2011,1,3,3,0.0
2011,1,3,4,0.0
2011,1,3,5,0.0
2011,1,3,6,24.34
2011,1,3,7,105.47
2011,1,3,8,199.52
2011,1,3,9,318.96
2011,1,3,10,439.3
2011,1,3,11,571.09
2011,1,3,12,504.9
2011,1,3,13,561.88
2011,1,3,14,572.71
2011,1,3,15,416.49
2011,1,3,16,238.2
2011,1,3,17,69.03
2011,1,3,18,0.0
2011,1,3,19,0.0
2011,1,3,20,0.0
2011,1,3,21,0.0
2011,1,3,22,0.0
2011,1,3,23,0.0
2011,1,4,0,0.0
2011,1,4,1,0.0
2011,1,4,2,0.0
2011,1,4,3,0.0
2011,1,4,4,0.0
2011,1,4,5,0.0
2011,1,4,6,38.3
2011,1,4,7,218.75
2011,1,4,8,454.09
2011,1,4,9,678.78
2011,1,4,10,815.25
2011,1,4,11,891.07
2011,1,4,12,854.95
2011,1,4,13,707.66
2011,1,4,14,634.36
2011,1,4,15,448.09
2011,1,4,16,260.27
2011,1,4,17,91.75
2011,1,4,18,0.0
2011,1,4,19,0.0
2011,1,4,20,0.0
2011,1,4,21,0.0
2011,1,4,22,0.0
2011,1,4,23,0.0
2011,1,5,0,0.0
2011,1,5,1,0.0
2011,1,5,2,0.0
2011,1,5,3,0.0
2011,1,5,4,0.0
2011,1,5,5,0.0
2011,1,5,6,41.26
2011,1,5,7,250.92
2011,1,5,8,490.12
2011,1,5,9,690.52
2011,1,5,10,848.82
2011,1,5,11,892.09
2011,1,5,12,881.6
2011,1,5,13,862.03
2011,1,5,14,724.12
2011,1,5,15,512.38
2011,1,5,16,300.05
2011,1,5,17,95.02
2011,1,5,18,0.0
2011,1,5,19,0.0
2011,1,5,20,0.0
2011,1,5,21,0.0
2011,1,5,22,0.0
2011,1,5,23,0.0
2011,1,6,0,0.0
2011,1,6,1,0.0
2011,1,6,2,0.0
2011,1,6,3,0.0
2011,1,6,4,0.0
